id,dtweet,class,Detect_language,tweet,,
7.46007323479577E+017,عاجل | مصادر عراقية: 20 قتيلا بينهم قائد للحشد العشائري في هجوم لتنظيم الدولة بالأنبار,1,ar,"Urgent Iraqi sources: 20 people were killed, including a leader of the tribal crowd in an ISIS attack in Anbar",,
5.69488484957856E+017,"RT @Iraq_now2: نحو٣٠٠عنصر من عصابات""حزب الله""اللبناني يتواجدون في #العراق لدعم العصابات الشيعية.
https://t.co/m6olU9lswP http://t.co/eqXa7UQzV1",1,ar,"RT @iRAQ_Now2: About 300 members of the Lebanese ""Hezbollah"" gangs are in Iraq to support Shiite gangs.
https://t.co/m6olu9lswp http://t.co/eqxa7uqzv1",,
6.64157183135871E+017,@DroopDelaCreme you knowwwwwww,1,en,@DroopDelaCreme you knowwwwwww,,
5.61386715349537E+017,"@_AbDwd2 bro, I really wish twitter would delete retards like this rather than Dawlah supporters...Guy needs a bullet http://t.co/om2359dSB0",1,en,"@_AbDwd2 bro, I really wish twitter would delete retards like this rather than Dawlah supporters...Guy needs a bullet http://t.co/om2359dSB0",,
5.5336834836149E+017,"When a coconut gets asked if he supports ISIS looool
https://t.co/zO7ZfIgusH",1,en,"When a coconut gets asked if he supports ISIS looool
https://t.co/zO7ZfIgusH",,
5.60899998066676E+017,Ninova Vilayetinde Zekat mallarından olan Develerin toplanması.http://t.co/cEEVGREQ5K,1,tr,"Collection of camels, which are one of the camels from zakat goods in the province of Nineveh.",,
7.18657625848721E+017,"🔖 قال #سيدي_رسول_الله ﷺ :

""أحب الأعمال إلى الله ﷻ
سرور تدخله على مسلم
أو تكشف عنه كربة
أو تقضي عنه دينا
أو تطرد عنه جوعا"".

#صباحيات 💙💚❤️",1,ar,"🔖 He said #Sir_Surul_ Allah ﷺ:

""I love deeds to God ﷻ
make Muslem pleasure
Or reveal it as a distress
Or Dina eliminate it
Or it is starvated by it.

#Morning 💙💚❤️",,
5.60727258563117E+017,"Kurds ""took"" kobane ,America flattened it through airstrikes and now it's all rubble good work Kurds LMAO.5 months of air strikes on land",1,en,"Kurds ""took"" kobane ,America flattened it through airstrikes and now it's all rubble good work Kurds LMAO.5 months of air strikes on land",,
7.11041920240325E+017,Vroom vroom vroom vroom vroom how the hell does a plane go in circles what's the noise ..... Bang boom! Fireworks! 🎉 https://t.co/Vrf4vgv279,1,en,Vroom vroom vroom vroom vroom how the hell does a plane go in circles what's the noise ..... Bang boom! Fireworks! 🎉 https://t.co/Vrf4vgv279,,
7.12258627852231E+017,These two guys @destroythebook and @PHISHING29 are incredibly good and consistent.,1,en,These two guys @destroythebook and @PHISHING29 are incredibly good and consistent.,,
7.10490156248265E+017,"@doaa63784383 هي الصورة الذهنية الايجابية التي ننظر الى الاحداث بها، في الحديث""عجبا لامر المؤمن ان امره كله له خير""
بهذه النفسية تفسر الامور",1,ar,"@Doaa63784383 is the positive mental image in which we look at events, in the hadith, ""Wonder that the believer is all good for him.""
With this psyche, things explain",,
5.63073820362551E+017,"Powerful vid, who's the first speaker??

https://t.co/asu5yNbySH",1,en,"Powerful vid, who's the first speaker??

https://t.co/asu5yNbySH",,
7.12932811536212E+017,RT @azadaliCCM: The product of neocon lies arrested for inciting hatred https://t.co/8ySXmbGvW1 tbh likes of @HJS_Org r more culpable @5Pillarsuk @Majstar7,1,en,RT @azadaliCCM: The product of neocon lies arrested for inciting hatred https://t.co/8ySXmbGvW1 tbh likes of @HJS_Org r more culpable @5Pillarsuk @Majstar7,,
5.64443227844248E+017,"RT @SaudiMendas3: #السعودية_لا_تحارب_بشار
هل تعلم أن طائرات ال سعود وطائرات بشار تقصف نفس المدينة؟! #الرقة !!",1,ar,"RT @saudimandas3: #Saudi
Did you know that Al Saud planes and Bashar aircraft bomb the same city?! #Raqqa !!",,
5.53160290708095E+017,@sb3_1 @time_machine_1 كلهم متشابهون عين واحده باختلاف المسميات,1,ar,@s,,
7.12711148999676E+017,"@JejMdm @ah156m @CTUUD 
بلغوا وحفّرت حكومتهم بيدينها ورجلينها ودفعت الملايين لكن ما في يد العبد حيله (:",1,ar,"@Jejmdm @ah156m @CUud
They reached and dug their government with her hands and legs, and she paid millions, but the servant's hands are in the hands of his tricks (:",,
6.65165564122415E+017,"RT @anbaria_ansaria: ""@serrver_9: بسم الله ابدأ حسابي التاسع
ابواليمان الزرقاوي
توثيق الحساب الثامن https://t.co/qtfj2KvQ9C""
اكرمو أخونا جزاكم الله خيرا",1,ar,"RT @anbaria_ansaria: "" @server_9: In the name of God, start my ninth account
Abulim Al -Zarqawi
Eighth account documentation https://t.co/qfj2kvq9c ""
Honor our brother, may Allah reward you",,
5.6450223767083E+017,@polemicablog @mohammed142857 or if necessary to divorce,1,en,@polemicablog @mohammed142857 or if necessary to divorce,,
5.56160668639195E+017,@al_jozelhind1 @BintMath thanku for the screenshot. I just intended to piss off kuffaar thats all...:),1,en,@al_jozelhind1 @BintMath thanku for the screenshot. I just intended to piss off kuffaar thats all...:),,
5.53744523839701E+017,"Keep Tuhin, Mustakeem and Abu Nusaybah in your Ad'iyah, including all the other muslim prisoners, May Allaah hasten their release. Ameen",1,en,"Keep Tuhin, Mustakeem and Abu Nusaybah in your Ad'iyah, including all the other muslim prisoners, May Allaah hasten their release. Ameen",,
5.64323128818799E+017,"RT @uygaraktas: In Ramadi, two Sunnis,driving a car that had license plates from Saudi Arabia  were executed by shiite militants after being stopped at a CP",1,en,"RT @uygaraktas: In Ramadi, two Sunnis,driving a car that had license plates from Saudi Arabia  were executed by shiite militants after being stopped at a CP",,
7.47155572819173E+017,@ahmedsaadir we have videos of shia slicing civilians like kebabs over fires. I call bullshit.,1,en,@ahmedsaadir we have videos of shia slicing civilians like kebabs over fires. I call bullshit.,,
5.55203032976089E+017,RT @dralmnbt7: إصدار جديد أنصح بمشاهدته من إنتاج مجموعة الباحوثات نايف بن خالد التشبيحيه اسم المسلسل خوارج الغرب فرنسا !!!!!!!!!!!!! http://t.co/qM5dVNbntA,1,ar,"RT @DralMnbt7: A new version I recommend watching it from the production group of research Nayef bin Khaled Al -Tasbiha, the name of the series, Kharijites of the West France !!!!!!!!!!!! http://t.co/qm5dvnbnta",,
5.55403327207268E+017,@Areeeej1991 @hema_ana_99 @alinaad55 @shaybaali2 مزمز في حذاء المؤسس لحين انتهي من حديثي مع الارهابيين http://t.co/W8rGxb3skA,1,ar,@Areeeej1991 @hema_ana_99 @alinaad55 @ShaybaALI2 Mazzam in the founder shoe until I finish my conversation with terrorists http://t.co/w8rgxb3ska,,
7.53761444546523E+017,They are all dog... https://t.co/fGp5l2IJ0N,1,en,They are all dog... https://t.co/fGp5l2IJ0N,,
5.55061416491627E+017,"RT @aslan6s: “@EbuAtilla: Şeyh Adnani HAFİZEHULLAH Duası 

https://t.co/i1Gr606Czy http://t.co/tiVmjbbFua”",1,tr,"RT @Aslan6s: “@ebuatilla: Sheikh Adnani Hafizehullah Prayer

https://t.co/i1gr606czy http://t.co/tivmjbbfua",,
7.09116314149847E+017,"RT @Longshot_Scott: Nearly 6,000 followers... You can do better than this. RT the ABOVE tweet!

I'll be disappointed in every single one of you who doesn't. 😘",1,en,"RT @Longshot_Scott: Nearly 6,000 followers... You can do better than this. RT the ABOVE tweet!

I'll be disappointed in every single one of you who doesn't. 😘",,
6.65899071287071E+017,@_alifpasai12 jazak allah khayr,1,ar,@_Alifpasai12 Jazak allah khayr,,
5.53265739227206E+017,Attack on Nubl & Zahraa is intensifying #Dua,1,en,Attack on Nubl & Zahraa is intensifying #Dua,,
